text	NOT	HOF
Found the little bastard 👌 now the fun begins. 😬 [URL]	0.03708984	0.96291023
This is just so heartbreaking 😭 Can't even Imagine the pain and helplessness of a daughter. BengalViolence is just an excuse to hide the ground reality of the nation! Shame on [USER] and its supporters IndiaCovidCrisis ModiMadeDisaster IndiansDyingModiEnjoying [URL]	0.20780191	0.7921981
[USER] Stop being a twat then	0.024440886	0.97555906
One thing I can't stand is people talking out the neck when they don't know shit....	0.04969878	0.9503012
Y'all. This is NOT it. Please give real help or spread awareness but this is just insulting. IndiaCovidCrisis [URL]	0.9174275	0.082572564
It's heartbreaking to see Osama struggling alone for the judicial killing of his father. A boy whose father sacrificed everything for strongest political party of Bihar yet no one standing beside him. JusticeForShahabuddin OsamaShahab COVID19 [URL]	0.8036199	0.19638011
[USER] [USER] Wah [USER] , yet another masterstroke. People will die and to burn the dead, they would need more wood. Superb. ResignModi modimadedisater Stop Destroying the Country. Stop Destroying the Planet. ModiHataoDeshBachao	0.14553498	0.85446507
i'm tired of making other people comfortable with MY existence, until further notice, kindly fuck off [URL]	0.01417811	0.9858219
BITCH WHAT [URL]	0.020641757	0.97935826
If you dona[CUR]™t give a damn then I dona[CUR]™t give no FUCK	0.01717939	0.98282063
[USER] Panem et circenses. Distract the angry mobs with a shiny new solution that can't be implemented and thereby save your a[CUR] from the coming revolution. Resign_PM_Modi ModiHataoDeshBachao BJPHataoDeshBachao BJPdestroysDemocracy	0.07515349	0.92484653
[USER] Really like how this list started with Dan Shitbag.	0.04781716	0.9521828
I'm booked in to get my first dose of the Covidvaccine and truth be told I'm a bit nervous | First Dog on the Moon [URL]	0.9829822	0.017017743
It's an international shame for India as our PM cares fund is totally means cares for PM and everyone knows it that is why the global leaders aren't trusting this fund no more spinelessmodi SpinelessBJP Resign_PM_Modi ModiTheBiggestCheater [URL]	0.111770816	0.8882292
Just tired of all these deaths💔 hurting me from inside hope good days will come back😞may god save us all😭🙏COVIDSecondWave COVID19India COVID19 OxygenEmergency IndiaFightsCorona IndiaFightsCOVID19 CovidVaccine Covid19IndiaHelp COVIDSecondWaveInIndia indianeedoxygen	0.9781108	0.02188914
[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Is been very shameful for India that India is the largest production of all vaccine n medicine. Still India	0.1348151	0.8651849
The most greedy PM of India. The most important thing in every country is Education, it can be stopped but not ELECTION. ExitModi ModiDisasterForIndia Resign_PM_Modi ModiFailsIndia [USER] [USER] [URL]	0.049531173	0.95046884
Roaming around aimlessly while his people are dying. And all paid media follow him. What a shame for having such a leader in this 21st century. ModiMadeDisaster ModiResign ResignPMmodi [URL]	0.048414614	0.9515854
Modi government tied with twitter and removed some serious tweets which exactly shows how they failed us. things are really bad when leaders response to the criticism is to try and eradicate the criticism not the failures. Bjp govt completely failed us . resignmodi india	0.14207931	0.8579207
Have some REAL journalism from [USER] AMC. None of that motley fool bollocks here. No fud! Here's Why People Are Buying AMC Stock: Investors Guide - [URL] [URL]	0.034643456	0.9653566
"[USER] Here's hoping that little shitbag gets arrested. I got arrested for ""threatening"" when I didn't even make a direct threat, and our law system is fubar if crap like this keeps sliding."	0.0355429	0.96445715
[USER] Wee twat. How can she even joke about that?	0.14389458	0.85610545
[USER] You wona[CUR]™t. But some random asshole will.	0.01522205	0.9847779
India becoming the first country to see more than 400,000 new daily coronavirus cases. Shame on the [USER] IPL2020 IndiaCovidCrisis IndiaNeedsOxygen	0.12940592	0.870594
[USER] [USER] my first time seeing report about IndiaCovidCrisis . This is very heart breaking.	0.97999865	0.020001333
[USER] [USER] [USER] You guys make me sick to the core!!!! Is that really your concern right now, formation of alliance, when the entire country is on its knees!! I guess news of dead bodies pilling up, people dropping dead on the st	0.64932525	0.3506748
[USER] fuck off this is you	0.014927411	0.98507255
Oh they love this lol [URL]	0.9797298	0.02027017
"ModiKaVaccineJumla Mr. Modi, where is your ""DeshBhakt"" BJP workers now??? Do you feel COVID is attacking only the anti-nationals or anti-BJPs ???? Shame a Curse On!!!!"	0.063189514	0.9368105
[USER] Can't expect God to do all the work	0.9125133	0.08748673
Why Modi as Prime Minister is big Disaster for India ? * Daily 400000 case. * Daily 4000 deaths. But he is still working on his image! ResignModi MakeGadkariPM [URL]	0.047435157	0.95256484
is there rnbo lore on you know whoa[CUR]™s stream 😒😒😒 damn it.... ia[CUR]™m in class anyway but.... fuck... ran bow lore is ran bow lore....	0.019301053	0.9806989
Didi and her brothers make Bengal hell by terror.They are the only party who celebrate victory by Terror. ShameOnMamata TMCTerror MamtaisTerrorist ShameOnTMC tmcgoons BengalBurning BengalViolence Fascism [USER] [USER] [USER] [USER]	0.14802912	0.85197085
This is so heartbreaking. SpinelessBJP BengalBurning PresidentsRuleinBengal [URL]	0.9146129	0.08538713
People are dying, left to go begging for basic medical resources. No ventilators. No O2. Delayed/No Response from Centre. State govts clueless due to lack of aid from Centre. Lies. Cover ups. Please, for the country's sake, ResignModi & let someone more competent do the job. [URL]	0.2753531	0.72464687
What is bisexuality i only know dick [URL]	0.021580439	0.97841954
[USER] Awww :(( the fact that she didn't text u for a year damn 😩	0.17450711	0.8254929
Bill Gates, emphatically opposes sharing Covidvaccine formulas with India & poor nations to accelerate their ability to manage d pandemic. His concern is IPR & capitalist profits. Deplorable but not shocking. Gates expresses the very essence of capitalism: let d poor eat manure	0.3674191	0.6325809
my neurodivergent ass Hates the way those Saniderm bandages feel in the crook of my elbow right now 🤧 the tattoo barely touches the crease of my elbow, but the bandage goes into my ditch and it feels Icky. catch me taking like 12 showers in 2 days to make this shit peel off ASAP	0.03755744	0.9624426
Very clueless bastard with no regard for humanity.. Doom upon your generation is all I wish for [URL]	0.0445	0.9555
Death threats to Actor siddharth and his family for exposing BJP What can we expect from the party which files FIR for asking Oxygen 😡 IStandWithSiddharth [URL] ModiKaVaccineJumla	0.43162882	0.5683712
[USER] Shout to 2 all Queens out there yo holding dudes down yo. Bloody British bitch jus mad Harry told about the queen And future king lol I have to laugh being racist cunts lol in my best British accent the cockney one lol	0.027127445	0.97287256
A bitch will fuck yo nigga yo opp yo daddy and fav cuz but soon as you get bloody all hell break lose ....	0.016380768	0.9836193
[USER] [USER] [USER] [USER] [USER] No one is blaming.. because blame game starts when you have an confusion, 👉 We are saying.. we are not blaming.. its is wuhanVirus manufactured in WuhanLab	0.65509415	0.34490582
SpinelessBJP No thing painful than this BajrangDal BengalBurning VHP [URL]	0.7624158	0.23758422
[USER] [USER] Chinese President Xi Jinping take back your virus 🦠,, We don't want any more help from you, chineseVirus	0.6869908	0.31300926
[USER] Good player bit of a twat tho	0.025114877	0.97488517
If Narendra Modi resigns before 2024...We all will forgive you...So please ResignPMmodi ... Nobody will shame you for your indecisiveness... Nobody will Shame for your poor logical reasoning...	0.17790058	0.82209945
[USER] Bloody hell my dad is bigger than your dad ....	0.028436413	0.9715636
Even today, I saw people without masks or masks worn wrongly, on the streets 😡 COVID19India IndiaCovidCrisis [URL]	0.9514688	0.048531152
Dear foreign countries you all are serving oxygen, ambulance, medical equipments etc. But the most likely we want a prime minister. If you can make it it's the big deal you have done to this country. ResignPMmodi SaveIndia	0.18684016	0.8131598
It was said that he was suffering from COVID19 but report showed he was corona negative This is Murder JusticeForShahabuddin [URL]	0.71980923	0.2801908
"whom ever pushing this agenda of vaccinating everyone...I SAY ""GO FUCK YOURSELVES"" I don't need no vaccine coronavirus COVID19 CovidVaccine fuckyouandyourvaccine"	0.019684192	0.98031574
1) Class 12th students are depressed due to exams. 2) India trapped in pandemic. 3) Economy failed. What we can do now? ResignModi ResignPMmodi	0.35358366	0.6464163
[USER] [USER] Same happened with me, people laughed & said I have a misconception about this ChineseVirus that's why I wear mask & use sanitizer. Now those people are blaming Modi ji.. Huh!	0.33736286	0.6626371
VaccineShortage Resign_PM_Modi ordinary people want peace of mind. U r making jokes in every step . it's not any kind stage show, u r not 2 be a PM 4 nonsense preparation. modi ji ur baseless decision and overconfidence what did in india maybe we can't revive4more 20 years. [URL]	0.12361016	0.8763898
It's not exactly BREAKING NEWS if he's been selected in the squad! No brainer. It would be BREAKING NEWS if he wasn't. Bloody hell euros hasn't even started yet. This is England 😴 englandsquad Southgate	0.33556837	0.6644317
[USER] Shameless PM. What else can we say? ShameOnModi Resign_PM_Modi ResignPMmodi	0.048142694	0.9518573
[USER] [USER] [USER] [USER] [USER] [USER] [USER] This is the reason Communist Government in China doesn't treat you like humans. You were killed like dogs in WuhanKillings to contain the ChineseVirus. But unfortunately you escaped, anyways better luck next time, hope you don't survive next time.	0.21896654	0.78103346
This is the most humble and deeply saddening piece I've read recently calling for ResignModi. By Arundhati Roy: We need a government [URL] via [USER]	0.95082426	0.04917574
[USER] [USER] Damn you, you have the government and instead of leading it your party is busy being an opposition. ResignModi	0.052598704	0.9474012
Everybody is creating awareness to get vaccinated! But in actual vaccines are not at all available anywhere. Nowhere near to get registered! CovidVaccine My colleagues is looking for 2nd dose for his parents, but he ain't getting it! CoWin Sad Reality!	0.8462992	0.15370078
damn damson asked for some transparency and they made him deactivate	0.4438056	0.55619437
Gonna start being more of an asshole to dickhead drivers. Been inches from getting hit 2 times in the past week now	0.018240679	0.9817593
[USER] [USER] this song is mid as fuck	0.014625316	0.9853747
bollocks i need shows to watch	0.025533354	0.9744666
India has got the worst finance minister and health minister ever. IndiaCovidCrisis ResignPMmodi ModiKaVaccineJumla COVIDEmergency	0.116512835	0.88348716
While it's horrifying to know that India now has 20m Covid cases in total, there's now claims that the overall infection rate is slowing down. I don't believe any part of that statement. IndiaCovidCrisis COVID19India	0.9671103	0.032889742
Oh wow, I had my first vaccine 💉 yesterday, today I feel awful CovidVaccine	0.9762042	0.023795707
"Violence = IslaM Love = ""behayayi"" It's totally unethical ,unislamic Wow 👏 No wonder why West becoming ISLAMPHObE. Islamophobia"	0.26765335	0.7323467
Real Jihadi Avatar of [USER] she is worse than Mughal invaders, we will not rest until we throw her out of democracy BengalBurning BengalViolence PresidentRuleInBengal [URL]	0.1401293	0.85987073
"""God, did you hear about that stupid guy who works at Burger King who is a total asshole? I think his name is Arin"""	0.016550018	0.98345
[USER] That's why the whole thing is a load of crap. Corporate bollocks.	0.034380063	0.96562
For everyone wondering who would try to be the biggest asshole of the day, ita[CUR]™s [USER] [URL]	0.015509466	0.9844906
To admit one's mistakes and to give up the power they possess takes immense strength and willpower and these qualities are clearly absent in our Prime Minister and his team. They are so shameless...they would use the PM Private Plane to flee to a different country 🙄 ResignModi [URL]	0.11624429	0.8837557
[USER] Ur Mom is my bloody bitch you must ask her	0.019014675	0.98098534
[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] idk probs shag ur mum since thats what other gamers do	0.13029179	0.86970824
And to think there are people in our country who stupidly choose not to get vaccinated, when millions of people in the IndiaCovidCrisis would love to have your dose. COVID19 [USER] [USER] [URL]	0.7182436	0.28175643
[USER] [USER] nah i mean i'm not trying to be a dick here, i'm just trying to make the point that it's not as easy as it 'feels', you know? getting a team to take on that contract rn might even be tough--not that i dont think marner has valu	0.10497544	0.8950246
People are dying in india. No vaccine or medical supply available. That self obsessed Modiji exported vaccines and oxygen supply 😰. ResignModi IndianLivesMatter ModiKaVaccineJumla IndiaFightsCorona	0.059862852	0.94013715
Hard for India to strengthen climate ambition when many experts are diverted to helping Covid sufferers find oxygen and hospital beds IndiaCovidCrisis [URL]	0.9684184	0.03158157
[USER] i'm so sorry. just wanted you to know that your identity is valid as fuck and don't let anyone tell you otherwise, sending love💞💞💞💞💞💞	0.012695079	0.987305
I think seungyoun brings out the whore in everyone he's in contact or influences cause look at me rn [URL]	0.050519563	0.9494804
What's happening with covid in India is devastating. Please consider helping if you can. IndiaNeedsOxygen IndiaCovidCrisis [URL]	0.98031384	0.019686174
[USER] [USER] [USER] I want to but the Mrs is a wanker for foreign shows so I'll have to watch it on my own	0.0866755	0.91332453
After years of wrong doings, evil acts against muslims and kashmiris, fake media reporting, terrorizing farmers, projecting false images of India to the world, its all falling apart now IndiaCovidCrisis KashmirNeedsOxygenToo	0.2251079	0.7748921
[USER] taxes on O2 imported, from other countries.Not utilising PM cares fund.Constructing new parliament . Don't u know how to rule?get off from the chair.Enough your inefficient rule.. Please hand it over to any educated one.Resign_PM_Modi BjpD	0.0796617	0.9203383
[USER] let's get CovidVaccine approval for kids ASAP! I don't trust my neighbors who are anti-vaxx, 🦠deniers. My teenager isn't going back until she can get her 💉. The 💉 should be mandatory for attendance. If schools are important they should be treated as such.	0.7684364	0.23156358
Not a good look for the EU this morning - to be the major economy still siding with pharma profits rather than waiving CovidVaccine patents in a public health super-emergency. Come on EU, back a PeoplesVaccine Take action here: [URL]	0.8156021	0.18439785
[USER] [USER] We are very proud to say that we are from Kerala. But same time it is shame to tell to non Indians that we are from Indians. Only because of BJP. Resign_PM_Modi	0.12688488	0.8731151
[USER] [USER] [USER] Ridiculous that this Modi govt is charging gst taxes on essentials like vaccines during a pandemic! Shameless parasites leeching off the Indian public! Resign_PM_Modi ModiHataoDeshBachao ModiKaVaccineJumla BJPdestroysDemocracy BJPHataoDeshBachao	0.05532912	0.9446709
When someone dies, we always had the liberty to blame God for taking away our dear one ! Now the irony of India is we can't even blame NarendraModi for his impaired vision . COVID19 Resign_PM_Modi	0.41392142	0.5860786
I love watching the nut falling out of my pussy and ass 🥰	0.016609402	0.9833906
"""Damn white people and their dairy"" [URL]"	0.059662618	0.9403374
😎 horny slut whore sexy bitch cunt fuck prostitute prostitution pussy hot beautiful gorgeous tits boobs nipples blowjob body figure randi nude naked [URL]	0.021112673	0.9788873
HollyWilloughby really said she feels left out because she got no side effects from the CovidVaccine What a fucking airhead 😤 bet the ppl who died after it would take her place, stupid bint. ThisMorning	0.021030962	0.978969
just spotted a cheater on the ESEA client... truly unlucky. need to ban this garfield motherfucker....	0.022584768	0.97741526
Please understand by now that power and money can't save lives but good karma can. Please repent and take responsibility. NarendraModi bbcnews YogiJhootaHai ResignModi	0.92953074	0.07046921
"[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Many thanks [USER] for live coverage 👍 ""I'm sorry, [USER], I think you've had plenty of time today"" Circle Back Girl [USER] runs out of patience (again) regarding honest [USER] questions on WuhanLab WuhanVirus origins. Have a nice day 🌞 [URL]"	0.9632624	0.03673761
The courts might have been a late to take cognizance of the situation in India but they are definitely doing their job. But its appalling to see that the government needs the judiciary to cajole it to action during a nationwide pandemic. IndiaFightsCOVID19 IndiaCovidCrisis [URL]	0.76966935	0.2303306
Fuck pre workout, just piss me off	0.017038241	0.9829617
ranboo you incredible son of a bitch you've done it again my friend you've raised the bar for us all and did so flawlessly	0.04159647	0.9584035
This stuff is horrible imagine the smells, how did Idea get caught off guard they were doing better than us at one point? IndiaCovidCrisis [URL]	0.9428466	0.057153437
Dear India people. Let me come to your country. And let we make this Pandemic the End. Forgive me if right Now I still can't pay my Air Plane Ticket or my Trip to India. But believe me. If I go to your country for 2 Weeks, it will gone IndiaCovidCrisis TurnBackCovid	0.97348285	0.026517171
I dona[CUR]™t know what was going on at AJ, but I feel poor for him regarding this match , this stained his legacy. He would become the undefeated champion for long time. Wanker Ruiz got a lucky day. 😓 [URL]	0.23564784	0.76435214
[USER] [USER] [USER] [USER] [USER] Such a shameless tweet Resign_PM_Modi ModiResign ModiKaVaccineJumla ModiFailsIndia [URL]	0.055259746	0.9447403
May Allah protect the ppls of India from this horror. Its heartbreaking. pakistanstandwithindia IndiaCovidCrisis PrayForIndia IndiaNeedsOxygen StayStrongIndia [URL]	0.90338975	0.09661031
India is one of the worst affected by COVID19. Health infrastructure is swamped, patients cant find hospital beds , oxygen , test , ambulance & Pharmacies. Many innocent people are dying. Worthless [USER] & his ministry. ResignModi OxygenCrisis VaccineForAll	0.16392621	0.8360738
What we're seeing in Bengal is not acceptable... There is no place for valance in Democracy. .. We have never witnessed a situation like this Post Election in India..... Shameful... Please speak up BengalBurning [URL]	0.41309753	0.5869025
[USER] China should apologize to people for unleashing its bio weapon WuhanVirus	0.7377941	0.26220587
Government is not launching ad Campaign on TV/YouTube/Hotstar for CovidVaccine misinformation ? There is lot of misinformation going on Whatsapp/Telegram and multiple social media platforms. The cyber crime also need to work on this.	0.78929484	0.21070516
[USER] Praying for you guys. Have lots family in India also and its so scary not to be able to help much. Keep safe [USER] God will make it easier on IndiaCovidCrisis	0.9810073	0.018992748
[USER] What a load of absolute bollocks. Dont agree with vaccination thats fine. But stop with the conspiracy shite	0.030229	0.96977097
If you haven't gotten vaccinated yet do you plan on it? I do plan on getting vaccinated but I am terribly, terribly nervous about it. I am on immunosuppressant meds & want to speak to my rheumatologist beforehand. COVID19 CovidVaccine	0.9775677	0.022432277
Just seen my ex fiance for the first time in like 2 years and all I can say is bullets were dodged. Karma has punched his hairline back a fucker 🤣🤣	0.023936698	0.9760633
India need to get rid of such citizens ! Now . Ita[CUR]™s a ChineseVirus thanks to people like u who get paid by enemies to say such filth ? Shame on ur suara [URL]	0.039021283	0.9609787
This the meek we need fuck that slow singing shit he be doing	0.016596235	0.98340374
How much pain one heart can tolerate? Absolute hopelessness. ResignModi [URL]	0.90047336	0.09952661
[USER] [USER] I'm no biblical student but remember from my school infant days the parable of the father, son and their donkey. Please yourself and those close to you, forget about what anybody else thinks	0.9637232	0.036276843
Babul Supriyo is frustrated on his own performance and rejection by people. He knows what double engine comment by Modi meant for the party. Double the loot!!Grapes are sour! Mamata in power😜WestBengalElections babulSupriyo Bengal ResignPMmodi MamataSweepsBengal	0.20996499	0.79003495
[USER] Shame on people who are still supporting her... including Manorama. keeping MUM ArrestMamata BengalBurning BengalViolence [URL]	0.031576976	0.968423
[USER] [USER] They shag sheep!!!! well known fact la	0.087714344	0.9122856
[USER] [USER] Because karma is a bitch. Babs' time had finally come. The wanker. LGRW	0.020970732	0.9790293
Shitbag talking about a 4 year plan, and giving it the big one about the super league blah blah fuck him, worst home record in clubs history, dull negative shite, if anyone doesn't want to be here fuck them [URL]	0.013077183	0.9869228
This just shows what a twat Southgate is. Henderson been injured & still not confident on his fitness YET JWP has not missed a single minute of the season & doesn't get picked. No interest in watching the euros at all	0.03882552	0.9611745
[USER] See how the foreign donation is changed from pm care to other sources? (Ex: pat cummin's [CUR]50000) Other country can see it , still the andh bhakts can't. Modi is ruining our country ResignModi	0.07576613	0.92423385
"[USER] [USER] [USER] [USER] Is this is what my ""NEW INDIA"" looks..? Just speechless helpless. No expectations from the D grade villains who's ruling the country. Shameful acts going on from the most corrupted and shameless persons who are governing the country. ResignPMmodi"	0.054005537	0.9459945
[USER] [USER] that son of a bitch promotes agglomeration, refused 11 different vaccines that would be used in Brazil, calls those who are in the donkey quarantine and, on top of that, spent OUR MONEY OF OUR TAXES TO BUY MEAT AND MAKE A BARBECUE WITH HIS FAMILY	0.07958622	0.9204138
2 weeks and counting. Stop playing petty Politics ResignPMmodi [URL]	0.10434935	0.8956507
[USER] It's deployed at many places bcoz tmc goons are looting vandalising and raping bjp workers and their families. Even ITBP is getting deployed. Meanwhile state police is not even writing fir!! ShameOnMamata MamtaisTerrorist BengalBurning TMC	0.14544213	0.8545578
Another reason to continue hating Dhruv Rathee. BengalBurning 1/2 [URL]	0.6056404	0.39435962
[USER] Ok. What did you do to piss off the universe?	0.034792792	0.9652072
Box O' Jokes time! - My mom never saw the irony in calling me son-of-a-bitch. - - Box ha and ha and ha!	0.057753116	0.94224685
Where are you guys who supported Mamta ? can't you see violence on BJP karyakarta's? Now why your mouth is shut ? Why can't you speak against her ?? Never forget if they are the victim today...Next may be you or your family. ShameOnTMC BengalBurning OpenYourEyes BengalViolenc	0.069660075	0.93033993
[USER] gay gay gay trans gay trans gay gay trans trans gay little trans bitch gay gay homo homo thats me the woman enjoyer wowowowow wawaweewa mfw gay	0.07660838	0.9233916
Why can't Indian media have such a reporting. Everyone wasting their time on pointless issues. It's time make people accountable for their deeds. Resign_PM_Modi [USER] [USER] [URL]	0.2105327	0.7894673
These truly strain credulity. What folks are actually worried about is that the CovidVaccine effort is evidence of how effectively direct public funding can drive pharmaceutical innovation and could be used far more widely. IP was not the key in this pandemic context...4/14 [URL]	0.9089867	0.0910133
[USER] [USER] The situation in India is very bad and needs your help In India there is no oxygen, not remdashivr injection helpindia IndiaCovidCrisis India OxygenConcentrator COVID19India COVIDEmergency Oxygen COVIDSecondWaveInIndia ModiKaVaccineJumla	0.93879414	0.061205823
Drop the song you bastard [URL]	0.021729417	0.97827065
[USER] The CCP Virus came from a Lab in Wuhan, China. China is Responsiblefor the Spread ofCorona VirusAcross theWorld.🌏🦠It's a Chinese Virus🤬🦠Fuck You China🖕🇨🇳🖕😡🦠CKMKB ChuttadChinesePartyCCP Chinese	0.08319422	0.9168058
[USER] [USER] [USER] [USER] [USER] The hashtag sums it all - ChinaLiedPeopleDied ChinaLiedMillionsDied ChineseVirus WuhanVirus chinese gift for the world = COVID19 (irony is that this BS F gift is real and dang	0.4827552	0.5172448
It is a horrific health tragedy in India and despite being thousands of miles away many South Asians are feeling it's effects around the world. A covid surge, low vaccination rate and overwhelmed hospitals have contributed to a growing disaster. IndiaCovidCrisis 🙏 [URL]	0.9118157	0.088184334
People dying without any medical treatment and oxygen is happening only in India. Shame ModiKaVaccineJumla	0.07796045	0.92203957
Is anyone else uncomfortable with Lisa Nandy politicising the IndiaCovidCrisis in order to win electoral votes? [URL]	0.8569122	0.1430878
The wrong interpretation of Islam leads to Islamophobia.	0.72782487	0.27217513
Shame on center, even shame word will feel shame for comparing with modi ResignModi ModiMadeDisaster [URL]	0.05246128	0.94753873
[USER] Ahhh. Now I know why they lost. That shitbag was in the building. I don't even wanna know if Imgrund and the rest of the paid doomers were in attendance. Gee. Couldn't give your ticket to a lower wage nurse/psw/staff.. Could ya Dr.? 😒	0.094009414	0.9059906
[USER] Bloody hell	0.027753368	0.97224665
[USER] [USER] So it is done then? What a shitbag	0.030638812	0.9693611
The coolest motherfucker in the room 😍 [URL]	0.015439157	0.98456085
That moment in the fucking when your finger is hooked up inside your lover's pussy, and you're all but lifting them off the bed by their G-spot and they just keep cumming That's fun. Lotta fun.	0.014604953	0.9853951
The man who crowned BJP, is stripping them naked now. He reminds me of Tyrion from GOT. Really sad to see him retire. prashantkishor ResignPMmodi ;Will love to see you in Bihar elections. [URL]	0.10036414	0.8996359
None of the regional media or national media is showing this horrible inhuman incident , why are we not talking about this? why so much pin drop silence? JusticeForSaswati JusticeForSaswatiJana Bengalisburning BengalViolence BengalBurning [USER] [USER] [URL]	0.6375185	0.36248142
Worse than Nazi gas chambers ResignModi Emergency Covid-19 relief is flooding Delhi airport but where is it going next? [URL]	0.7484178	0.2515822
[USER] Sorry to hear you're having a tough enough time, then some twat makes it worserer ( I'm sure that's a word) Stay strong Andrea 🙏🏽	0.12951013	0.8704899
He smiled hella hard when I told him what u just said. MissiSsippi Pimp Shit. [URL]	0.038973216	0.9610268
Lindsey Graham is a total shitbag.	0.022348704	0.9776513
[USER] Lagos is oversaturated with cars. My God. Cars, and kekes, and okadas. Everything zipping and horning and just creating a bloody cacophony. There's especially a special place in hell for Okadas that use horns meant for Trucks. They wan make I ment for Bariga that year.	0.29581377	0.70418626
[USER] [USER] made a complete cock of himself, equivalent to Jedward and that wanker with the plastic shopping bag over his head	0.020152314	0.97984767
[USER] Did you get the old bastard 1 or the young gun 1😬	0.027358975	0.97264105
[USER] Bjp has failed the nation. Modi has failed the nation. Biggest scam of history is PM care fund. [USER] [USER] ModiKaVaccineJumla ModiMustResign ModiResignOrRepeal ModiMadeDisaster ModiGovtSeNaHoPayega	0.047515914	0.9524841
[USER] fuck that must both hurt and piss you off. so direspectful	0.0154813705	0.98451865
Morally bankrupt. Disgraceful. BoycottChina propaganda IndiaCovidCrisis boycotthuawei boycottlenovo freetibet UyghurGenocide [URL]	0.35469064	0.6453093
Period bussy the house down sissy slay cunt boots pow ! [URL]	0.040043436	0.9599565
Idiots who were supportin CAA,atleast nw u should hve understood dat giving citizenship to outsiders when our own basic Infra is insufficient for Indians is such a huge mistake. CAA is done only for extra voter Base nothing else. CAA ExitModi indianeedoxygen IndiaCovidCrisis	0.10501095	0.8949891
[USER] ji you not only lost the elections today, you have lost lakhs of honest followers like me. Shame on you for letting us all down for your petty politics & power. Hope you learn and shine. Listen to experts and be a good man. NoVoteToModi	0.04733742	0.9526625
Kangana did a terrible mistake of pointing the mistakes of supreme leader !! Betrayal & exposing Gujarat CM is not acceptable in BJP.. ResignModi [URL]	0.062233157	0.9377669
TuckerCarlson is a dangerous fool! DrSanjayGupta Sets the record straight about the COVIDVaccine and Tucker's lies. [URL]	0.39705423	0.60294574
FarmLaws_NextPandemic It's complete failure of Indian govt! People are dying in streets ! They cannot hide behind system ! They are responsible for this ! They have no right to stay in office !!! FarmLaws_NextPandemic ModiKaVaccineJumla [URL]	0.085252345	0.9147476
"Trust me...if I like you I will dm you ""hey"" six times, then send 4 dick pics before getting very impatient for you to love me. Ita[CUR]™s gonna be beautiful. 🥰🥰"	0.03767085	0.96232915
