	Sentence	Predicted label	Matched rule
14	The situation all around us is extremely painful.I can't albe to see it any more..ppl are loosing their hope. Only God knows when will this all end.God will never forgive anyone who behaves as a opportunistic in this inhumane crisis. wuhanvirus [USER] [USER] [USER]	NOT	
15	[USER] [USER] [USER] [USER] [USER] Prove it !!! What evidence you have bloody hell prove kar	NOT	
16	now i can't even get my tattoos bc this man is being a cunt ! tf bro 🙄	NOT	
17	Found the little bastard 👌 now the fun begins. 😬 [URL]	HOF	['(u_1 / bastard)']
18	This is just so heartbreaking 😭 Can't even Imagine the pain and helplessness of a daughter. BengalViolence is just an excuse to hide the ground reality of the nation! Shame on [USER] and its supporters IndiaCovidCrisis ModiMadeDisaster IndiansDyingModiEnjoying [URL]	NOT	
19	[USER] Stop being a twat then	NOT	
20	One thing I can't stand is people talking out the neck when they don't know shit....	HOF	['(u_1 / shit)']
21	Y'all. This is NOT it. Please give real help or spread awareness but this is just insulting. IndiaCovidCrisis [URL]	NOT	
22	It's heartbreaking to see Osama struggling alone for the judicial killing of his father. A boy whose father sacrificed everything for strongest political party of Bihar yet no one standing beside him. JusticeForShahabuddin OsamaShahab COVID19 [URL]	HOF	['(u_1 / kill :ARG1 (u_2 / person))']
23	[USER] [USER] Wah [USER] , yet another masterstroke. People will die and to burn the dead, they would need more wood. Superb. ResignModi modimadedisater Stop Destroying the Country. Stop Destroying the Planet. ModiHataoDeshBachao	NOT	
24	i'm tired of making other people comfortable with MY existence, until further notice, kindly fuck off [URL]	HOF	['(u_1 / fuckHYPHENoff)']
25	BITCH WHAT [URL]	HOF	['(u_1 / bitch)']
26	If you dona[CUR]™t give a damn then I dona[CUR]™t give no FUCK	HOF	['(u_2 / fuck)']
27	[USER] Panem et circenses. Distract the angry mobs with a shiny new solution that can't be implemented and thereby save your a[CUR] from the coming revolution. Resign_PM_Modi ModiHataoDeshBachao BJPHataoDeshBachao BJPdestroysDemocracy	NOT	
28	[USER] Really like how this list started with Dan Shitbag.	NOT	
29	I'm booked in to get my first dose of the Covidvaccine and truth be told I'm a bit nervous | First Dog on the Moon [URL]	NOT	
30	It's an international shame for India as our PM cares fund is totally means cares for PM and everyone knows it that is why the global leaders aren't trusting this fund no more spinelessmodi SpinelessBJP Resign_PM_Modi ModiTheBiggestCheater [URL]	NOT	
31	Just tired of all these deaths💔 hurting me from inside hope good days will come back😞may god save us all😭🙏COVIDSecondWave COVID19India COVID19 OxygenEmergency IndiaFightsCorona IndiaFightsCOVID19 CovidVaccine Covid19IndiaHelp COVIDSecondWaveInIndia indianeedoxygen	NOT	
32	[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Is been very shameful for India that India is the largest production of all vaccine n medicine. Still India	NOT	
33	The most greedy PM of India. The most important thing in every country is Education, it can be stopped but not ELECTION. ExitModi ModiDisasterForIndia Resign_PM_Modi ModiFailsIndia [USER] [USER] [URL]	NOT	
34	Roaming around aimlessly while his people are dying. And all paid media follow him. What a shame for having such a leader in this 21st century. ModiMadeDisaster ModiResign ResignPMmodi [URL]	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
35	Modi government tied with twitter and removed some serious tweets which exactly shows how they failed us. things are really bad when leaders response to the criticism is to try and eradicate the criticism not the failures. Bjp govt completely failed us . resignmodi india	NOT	
36	Have some REAL journalism from [USER] AMC. None of that motley fool bollocks here. No fud! Here's Why People Are Buying AMC Stock: Investors Guide - [URL] [URL]	NOT	
37	"[USER] Here's hoping that little shitbag gets arrested. I got arrested for ""threatening"" when I didn't even make a direct threat, and our law system is fubar if crap like this keeps sliding."	NOT	
38	[USER] Wee twat. How can she even joke about that?	NOT	
39	[USER] You wona[CUR]™t. But some random asshole will.	HOF	['(u_401 / asshole)']
40	India becoming the first country to see more than 400,000 new daily coronavirus cases. Shame on the [USER] IPL2020 IndiaCovidCrisis IndiaNeedsOxygen	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
41	[USER] [USER] my first time seeing report about IndiaCovidCrisis . This is very heart breaking.	NOT	
42	[USER] [USER] [USER] You guys make me sick to the core!!!! Is that really your concern right now, formation of alliance, when the entire country is on its knees!! I guess news of dead bodies pilling up, people dropping dead on the st	NOT	
43	[USER] fuck off this is you	HOF	['(u_1 / fuckHYPHENoff)']
44	Oh they love this lol [URL]	NOT	
45	"ModiKaVaccineJumla Mr. Modi, where is your ""DeshBhakt"" BJP workers now??? Do you feel COVID is attacking only the anti-nationals or anti-BJPs ???? Shame a Curse On!!!!"	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
46	[USER] Can't expect God to do all the work	NOT	
47	Why Modi as Prime Minister is big Disaster for India ? * Daily 400000 case. * Daily 4000 deaths. But he is still working on his image! ResignModi MakeGadkariPM [URL]	NOT	
48	is there rnbo lore on you know whoa[CUR]™s stream 😒😒😒 damn it.... ia[CUR]™m in class anyway but.... fuck... ran bow lore is ran bow lore....	HOF	['(u_2 / fuck)']
49	Didi and her brothers make Bengal hell by terror.They are the only party who celebrate victory by Terror. ShameOnMamata TMCTerror MamtaisTerrorist ShameOnTMC tmcgoons BengalBurning BengalViolence Fascism [USER] [USER] [USER] [USER]	NOT	
50	This is so heartbreaking. SpinelessBJP BengalBurning PresidentsRuleinBengal [URL]	NOT	
51	People are dying, left to go begging for basic medical resources. No ventilators. No O2. Delayed/No Response from Centre. State govts clueless due to lack of aid from Centre. Lies. Cover ups. Please, for the country's sake, ResignModi & let someone more competent do the job. [URL]	NOT	
52	What is bisexuality i only know dick [URL]	HOF	['(u_1 / QUOTEDickQUOTE)']
53	[USER] Awww :(( the fact that she didn't text u for a year damn 😩	NOT	
54	Bill Gates, emphatically opposes sharing Covidvaccine formulas with India & poor nations to accelerate their ability to manage d pandemic. His concern is IPR & capitalist profits. Deplorable but not shocking. Gates expresses the very essence of capitalism: let d poor eat manure	NOT	
55	my neurodivergent ass Hates the way those Saniderm bandages feel in the crook of my elbow right now 🤧 the tattoo barely touches the crease of my elbow, but the bandage goes into my ditch and it feels Icky. catch me taking like 12 showers in 2 days to make this shit peel off ASAP	HOF	['(u_1 / shit)']
56	Very clueless bastard with no regard for humanity.. Doom upon your generation is all I wish for [URL]	HOF	['(u_1 / bastard)']
57	Death threats to Actor siddharth and his family for exposing BJP What can we expect from the party which files FIR for asking Oxygen 😡 IStandWithSiddharth [URL] ModiKaVaccineJumla	NOT	
58	[USER] Shout to 2 all Queens out there yo holding dudes down yo. Bloody British bitch jus mad Harry told about the queen And future king lol I have to laugh being racist cunts lol in my best British accent the cockney one lol	HOF	['(u_1 / bitch)']
59	A bitch will fuck yo nigga yo opp yo daddy and fav cuz but soon as you get bloody all hell break lose ....	HOF	['(u_2 / fuck)']
60	[USER] [USER] [USER] [USER] [USER] No one is blaming.. because blame game starts when you have an confusion, 👉 We are saying.. we are not blaming.. its is wuhanVirus manufactured in WuhanLab	NOT	
61	SpinelessBJP No thing painful than this BajrangDal BengalBurning VHP [URL]	NOT	
62	[USER] [USER] Chinese President Xi Jinping take back your virus 🦠,, We don't want any more help from you, chineseVirus	NOT	
63	[USER] Good player bit of a twat tho	NOT	
64	If Narendra Modi resigns before 2024...We all will forgive you...So please ResignPMmodi ... Nobody will shame you for your indecisiveness... Nobody will Shame for your poor logical reasoning...	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
65	[USER] Bloody hell my dad is bigger than your dad ....	NOT	
66	Even today, I saw people without masks or masks worn wrongly, on the streets 😡 COVID19India IndiaCovidCrisis [URL]	NOT	
67	Dear foreign countries you all are serving oxygen, ambulance, medical equipments etc. But the most likely we want a prime minister. If you can make it it's the big deal you have done to this country. ResignPMmodi SaveIndia	NOT	
68	It was said that he was suffering from COVID19 but report showed he was corona negative This is Murder JusticeForShahabuddin [URL]	NOT	
69	"whom ever pushing this agenda of vaccinating everyone...I SAY ""GO FUCK YOURSELVES"" I don't need no vaccine coronavirus COVID19 CovidVaccine fuckyouandyourvaccine"	HOF	['(u_2 / fuck)']
70	1) Class 12th students are depressed due to exams. 2) India trapped in pandemic. 3) Economy failed. What we can do now? ResignModi ResignPMmodi	NOT	
71	[USER] [USER] Same happened with me, people laughed & said I have a misconception about this ChineseVirus that's why I wear mask & use sanitizer. Now those people are blaming Modi ji.. Huh!	NOT	
72	VaccineShortage Resign_PM_Modi ordinary people want peace of mind. U r making jokes in every step . it's not any kind stage show, u r not 2 be a PM 4 nonsense preparation. modi ji ur baseless decision and overconfidence what did in india maybe we can't revive4more 20 years. [URL]	NOT	
73	It's not exactly BREAKING NEWS if he's been selected in the squad! No brainer. It would be BREAKING NEWS if he wasn't. Bloody hell euros hasn't even started yet. This is England 😴 englandsquad Southgate	NOT	
74	[USER] Shameless PM. What else can we say? ShameOnModi Resign_PM_Modi ResignPMmodi	NOT	
75	[USER] [USER] [USER] [USER] [USER] [USER] [USER] This is the reason Communist Government in China doesn't treat you like humans. You were killed like dogs in WuhanKillings to contain the ChineseVirus. But unfortunately you escaped, anyways better luck next time, hope you don't survive next time.	NOT	
76	This is the most humble and deeply saddening piece I've read recently calling for ResignModi. By Arundhati Roy: We need a government [URL] via [USER]	NOT	
77	[USER] [USER] Damn you, you have the government and instead of leading it your party is busy being an opposition. ResignModi	NOT	
78	Everybody is creating awareness to get vaccinated! But in actual vaccines are not at all available anywhere. Nowhere near to get registered! CovidVaccine My colleagues is looking for 2nd dose for his parents, but he ain't getting it! CoWin Sad Reality!	NOT	
79	damn damson asked for some transparency and they made him deactivate	NOT	
80	Gonna start being more of an asshole to dickhead drivers. Been inches from getting hit 2 times in the past week now	HOF	['(u_401 / asshole)']
81	[USER] [USER] this song is mid as fuck	HOF	['(u_2 / fuck)']
82	bollocks i need shows to watch	NOT	
83	India has got the worst finance minister and health minister ever. IndiaCovidCrisis ResignPMmodi ModiKaVaccineJumla COVIDEmergency	NOT	
84	While it's horrifying to know that India now has 20m Covid cases in total, there's now claims that the overall infection rate is slowing down. I don't believe any part of that statement. IndiaCovidCrisis COVID19India	NOT	
85	Oh wow, I had my first vaccine 💉 yesterday, today I feel awful CovidVaccine	NOT	
86	"Violence = IslaM Love = ""behayayi"" It's totally unethical ,unislamic Wow 👏 No wonder why West becoming ISLAMPHObE. Islamophobia"	NOT	
87	Real Jihadi Avatar of [USER] she is worse than Mughal invaders, we will not rest until we throw her out of democracy BengalBurning BengalViolence PresidentRuleInBengal [URL]	NOT	
88	"""God, did you hear about that stupid guy who works at Burger King who is a total asshole? I think his name is Arin"""	HOF	['(u_401 / asshole)']
89	[USER] That's why the whole thing is a load of crap. Corporate bollocks.	NOT	
90	For everyone wondering who would try to be the biggest asshole of the day, ita[CUR]™s [USER] [URL]	HOF	['(u_401 / asshole)']
91	To admit one's mistakes and to give up the power they possess takes immense strength and willpower and these qualities are clearly absent in our Prime Minister and his team. They are so shameless...they would use the PM Private Plane to flee to a different country 🙄 ResignModi [URL]	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
92	[USER] Ur Mom is my bloody bitch you must ask her	HOF	['(u_1 / bitch)']
93	[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] idk probs shag ur mum since thats what other gamers do	NOT	
94	And to think there are people in our country who stupidly choose not to get vaccinated, when millions of people in the IndiaCovidCrisis would love to have your dose. COVID19 [USER] [USER] [URL]	NOT	
95	[USER] [USER] nah i mean i'm not trying to be a dick here, i'm just trying to make the point that it's not as easy as it 'feels', you know? getting a team to take on that contract rn might even be tough--not that i dont think marner has valu	HOF	['(u_1 / dick)']
96	People are dying in india. No vaccine or medical supply available. That self obsessed Modiji exported vaccines and oxygen supply 😰. ResignModi IndianLivesMatter ModiKaVaccineJumla IndiaFightsCorona	NOT	
97	Hard for India to strengthen climate ambition when many experts are diverted to helping Covid sufferers find oxygen and hospital beds IndiaCovidCrisis [URL]	NOT	
98	[USER] i'm so sorry. just wanted you to know that your identity is valid as fuck and don't let anyone tell you otherwise, sending love💞💞💞💞💞💞	HOF	['(u_2 / fuck)']
99	I think seungyoun brings out the whore in everyone he's in contact or influences cause look at me rn [URL]	HOF	['(u_764 / whore)']
100	What's happening with covid in India is devastating. Please consider helping if you can. IndiaNeedsOxygen IndiaCovidCrisis [URL]	NOT	
101	[USER] [USER] [USER] I want to but the Mrs is a wanker for foreign shows so I'll have to watch it on my own	HOF	['(u_1 / wank)']
102	After years of wrong doings, evil acts against muslims and kashmiris, fake media reporting, terrorizing farmers, projecting false images of India to the world, its all falling apart now IndiaCovidCrisis KashmirNeedsOxygenToo	NOT	
103	[USER] taxes on O2 imported, from other countries.Not utilising PM cares fund.Constructing new parliament . Don't u know how to rule?get off from the chair.Enough your inefficient rule.. Please hand it over to any educated one.Resign_PM_Modi BjpD	NOT	
104	[USER] let's get CovidVaccine approval for kids ASAP! I don't trust my neighbors who are anti-vaxx, 🦠deniers. My teenager isn't going back until she can get her 💉. The 💉 should be mandatory for attendance. If schools are important they should be treated as such.	NOT	
105	Not a good look for the EU this morning - to be the major economy still siding with pharma profits rather than waiving CovidVaccine patents in a public health super-emergency. Come on EU, back a PeoplesVaccine Take action here: [URL]	NOT	
106	[USER] [USER] We are very proud to say that we are from Kerala. But same time it is shame to tell to non Indians that we are from Indians. Only because of BJP. Resign_PM_Modi	HOF	['(u_1 / shame :ARG0 (u_2 / shame|vulture|amr|elect|i|media|it|expose|you|have|obligate|support|nation|result|tell|person|get|vote|possible|religious|bastard|this|know|democracy|let|we|pull|and))']
107	[USER] [USER] [USER] Ridiculous that this Modi govt is charging gst taxes on essentials like vaccines during a pandemic! Shameless parasites leeching off the Indian public! Resign_PM_Modi ModiHataoDeshBachao ModiKaVaccineJumla BJPdestroysDemocracy BJPHataoDeshBachao	NOT	
108	When someone dies, we always had the liberty to blame God for taking away our dear one ! Now the irony of India is we can't even blame NarendraModi for his impaired vision . COVID19 Resign_PM_Modi	NOT	
109	I love watching the nut falling out of my pussy and ass 🥰	NOT	
110	"""Damn white people and their dairy"" [URL]"	NOT	
111	😎 horny slut whore sexy bitch cunt fuck prostitute prostitution pussy hot beautiful gorgeous tits boobs nipples blowjob body figure randi nude naked [URL]	NOT	
112	HollyWilloughby really said she feels left out because she got no side effects from the CovidVaccine What a fucking airhead 😤 bet the ppl who died after it would take her place, stupid bint. ThisMorning	NOT	
113	just spotted a cheater on the ESEA client... truly unlucky. need to ban this garfield motherfucker....	HOF	['(u_859 / motherfucker)']
114	Please understand by now that power and money can't save lives but good karma can. Please repent and take responsibility. NarendraModi bbcnews YogiJhootaHai ResignModi	NOT	
115	"[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Many thanks [USER] for live coverage 👍 ""I'm sorry, [USER], I think you've had plenty of time today"" Circle Back Girl [USER] runs out of patience (again) regarding honest [USER] questions on WuhanLab WuhanVirus origins. Have a nice day 🌞 [URL]"	NOT	
116	The courts might have been a late to take cognizance of the situation in India but they are definitely doing their job. But its appalling to see that the government needs the judiciary to cajole it to action during a nationwide pandemic. IndiaFightsCOVID19 IndiaCovidCrisis [URL]	NOT	
117	Fuck pre workout, just piss me off	HOF	['(u_2 / fuck)']
118	ranboo you incredible son of a bitch you've done it again my friend you've raised the bar for us all and did so flawlessly	NOT	
119	This stuff is horrible imagine the smells, how did Idea get caught off guard they were doing better than us at one point? IndiaCovidCrisis [URL]	NOT	
120	Dear India people. Let me come to your country. And let we make this Pandemic the End. Forgive me if right Now I still can't pay my Air Plane Ticket or my Trip to India. But believe me. If I go to your country for 2 Weeks, it will gone IndiaCovidCrisis TurnBackCovid	NOT	
121	I dona[CUR]™t know what was going on at AJ, but I feel poor for him regarding this match , this stained his legacy. He would become the undefeated champion for long time. Wanker Ruiz got a lucky day. 😓 [URL]	NOT	
122	[USER] [USER] [USER] [USER] [USER] Such a shameless tweet Resign_PM_Modi ModiResign ModiKaVaccineJumla ModiFailsIndia [URL]	NOT	
123	May Allah protect the ppls of India from this horror. Its heartbreaking. pakistanstandwithindia IndiaCovidCrisis PrayForIndia IndiaNeedsOxygen StayStrongIndia [URL]	NOT	
124	India is one of the worst affected by COVID19. Health infrastructure is swamped, patients cant find hospital beds , oxygen , test , ambulance & Pharmacies. Many innocent people are dying. Worthless [USER] & his ministry. ResignModi OxygenCrisis VaccineForAll	NOT	
125	What we're seeing in Bengal is not acceptable... There is no place for valance in Democracy. .. We have never witnessed a situation like this Post Election in India..... Shameful... Please speak up BengalBurning [URL]	NOT	
126	[USER] China should apologize to people for unleashing its bio weapon WuhanVirus	NOT	
127	Government is not launching ad Campaign on TV/YouTube/Hotstar for CovidVaccine misinformation ? There is lot of misinformation going on Whatsapp/Telegram and multiple social media platforms. The cyber crime also need to work on this.	NOT	
128	[USER] Praying for you guys. Have lots family in India also and its so scary not to be able to help much. Keep safe [USER] God will make it easier on IndiaCovidCrisis	NOT	
129	[USER] What a load of absolute bollocks. Dont agree with vaccination thats fine. But stop with the conspiracy shite	NOT	
130	If you haven't gotten vaccinated yet do you plan on it? I do plan on getting vaccinated but I am terribly, terribly nervous about it. I am on immunosuppressant meds & want to speak to my rheumatologist beforehand. COVID19 CovidVaccine	NOT	
131	Just seen my ex fiance for the first time in like 2 years and all I can say is bullets were dodged. Karma has punched his hairline back a fucker 🤣🤣	HOF	['(u_1 / fucker)']
132	India need to get rid of such citizens ! Now . Ita[CUR]™s a --ChineseVirus thanks to people like u who get paid by enemies to say such filth ? Shame on ur suara [URL]	NOT	
133	This the meek we need fuck that slow singing shit he be doing	HOF	['(u_2 / fuck)']
134	How much pain one heart can tolerate? Absolute hopelessness. ResignModi [URL]	NOT	
135	[USER] [USER] I'm no biblical student but remember from my school infant days the parable of the father, son and their donkey. Please yourself and those close to you, forget about what anybody else thinks	NOT	
136	Babul Supriyo is frustrated on his own performance and rejection by people. He knows what double engine comment by Modi meant for the party. Double the loot!!Grapes are sour! Mamata in power😜WestBengalElections babulSupriyo Bengal ResignPMmodi MamataSweepsBengal	NOT	
137	[USER] Shame on people who are still supporting her... including Manorama. keeping MUM ArrestMamata BengalBurning BengalViolence [URL]	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
138	[USER] [USER] They shag sheep!!!! well known fact la	NOT	
139	[USER] [USER] Because karma is a bitch. Babs' time had finally come. The wanker. LGRW	HOF	['(u_1 / bitch)']
140	Shitbag talking about a 4 year plan, and giving it the big one about the super league blah blah fuck him, worst home record in clubs history, dull negative shite, if anyone doesn't want to be here fuck them [URL]	HOF	['(u_2 / fuck)']
141	This just shows what a twat Southgate is. Henderson been injured & still not confident on his fitness YET JWP has not missed a single minute of the season & doesn't get picked. No interest in watching the euros at all	NOT	
142	[USER] See how the foreign donation is changed from pm care to other sources? (Ex: pat cummin's [CUR]50000) Other country can see it , still the andh bhakts can't. Modi is ruining our country ResignModi	NOT	
143	"[USER] [USER] [USER] [USER] Is this is what my ""NEW INDIA"" looks..? Just speechless helpless. No expectations from the D grade villains who's ruling the country. Shameful acts going on from the most corrupted and shameless persons who are governing the country. ResignPMmodi"	NOT	
144	[USER] [USER] that son of a bitch promotes agglomeration, refused 11 different vaccines that would be used in Brazil, calls those who are in the donkey quarantine and, on top of that, spent OUR MONEY OF OUR TAXES TO BUY MEAT AND MAKE A BARBECUE WITH HIS FAMILY	HOF	['(u_1 / bitch)']
145	2 weeks and counting. Stop playing petty Politics ResignPMmodi [URL]	NOT	
146	[USER] It's deployed at many places bcoz tmc goons are looting vandalising and raping bjp workers and their families. Even ITBP is getting deployed. Meanwhile state police is not even writing fir!! ShameOnMamata MamtaisTerrorist BengalBurning TMC	NOT	
147	Another reason to continue hating Dhruv Rathee. BengalBurning 1/2 [URL]	NOT	
148	[USER] Ok. What did you do to piss off the universe?	HOF	['(u_1 / pissHYPHENoff)']
149	Box O' Jokes time! - My mom never saw the irony in calling me son-of-a-bitch. - - Box ha and ha and ha!	NOT	
150	Where are you guys who supported Mamta ? can't you see violence on BJP karyakarta's? Now why your mouth is shut ? Why can't you speak against her ?? Never forget if they are the victim today...Next may be you or your family. ShameOnTMC BengalBurning OpenYourEyes BengalViolenc	NOT	
151	[USER] gay gay gay trans gay trans gay gay trans trans gay little trans bitch gay gay homo homo thats me the woman enjoyer wowowowow wawaweewa mfw gay	HOF	['(u_1 / bitch)']
152	Why can't Indian media have such a reporting. Everyone wasting their time on pointless issues. It's time make people accountable for their deeds. Resign_PM_Modi [USER] [USER] [URL]	NOT	
153	These truly strain credulity. What folks are actually worried about is that the CovidVaccine effort is evidence of how effectively direct public funding can drive pharmaceutical innovation and could be used far more widely. IP was not the key in this pandemic context...4/14 [URL]	NOT	
154	[USER] [USER] The situation in India is very bad and needs your help In India there is no oxygen, not remdashivr injection helpindia IndiaCovidCrisis India OxygenConcentrator COVID19India COVIDEmergency Oxygen COVIDSecondWaveInIndia ModiKaVaccineJumla	NOT	
155	Drop the song you bastard [URL]	HOF	['(u_1 / bastard)']
156	[USER] The CCP Virus came from a Lab in Wuhan, China. China is Responsible for the Spread of Corona Virus Across the World.🌏🦠It's a Chinese Virus🤬🦠Fuck You China🖕🇨🇳🖕😡🦠CKMKB ChuttadChineseParty CCP Chinese	HOF	['(u_2 / fuck)']
157	[USER] [USER] [USER] [USER] [USER] The hashtag sums it all - ChinaLiedPeopleDied ChinaLiedMillionsDied ChineseVirus WuhanVirus chinese gift for the world = COVID19 (irony is that this BS F gift is real and dang	HOF	['(u_2 / fuck)']
158	It is a horrific health tragedy in India and despite being thousands of miles away many South Asians are feeling it's effects around the world. A covid surge, low vaccination rate and overwhelmed hospitals have contributed to a growing disaster. IndiaCovidCrisis 🙏 [URL]	NOT	
159	People dying without any medical treatment and oxygen is happening only in India. Shame ModiKaVaccineJumla	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
160	Is anyone else uncomfortable with Lisa Nandy politicising the IndiaCovidCrisis in order to win electoral votes? [URL]	NOT	
161	The wrong interpretation of Islam leads to Islamophobia.	NOT	
162	Shame on center, even shame word will feel shame for comparing with modi ResignModi ModiMadeDisaster [URL]	NOT	
163	[USER] Ahhh. Now I know why they lost. That shitbag was in the building. I don't even wanna know if Imgrund and the rest of the paid doomers were in attendance. Gee. Couldn't give your ticket to a lower wage nurse/psw/staff.. Could ya Dr.? 😒	NOT	
164	[USER] Bloody hell	NOT	
165	[USER] [USER] So it is done then? What a shitbag	NOT	
166	The coolest motherfucker in the room 😍 [URL]	HOF	['(u_859 / motherfucker)']
167	That moment in the fucking when your finger is hooked up inside your lover's pussy, and you're all but lifting them off the bed by their G-spot and they just keep cumming... That's fun. Lotta fun.	HOF	['(u_1132 / fucking)']
168	The man who crowned BJP, is stripping them naked now. He reminds me of Tyrion from GOT. Really sad to see him retire. prashantkishor ResignPMmodi ;Will love to see you in Bihar elections. [URL]	NOT	
169	None of the regional media or national media is showing this horrible inhuman incident , why are we not talking about this? why so much pin drop silence? JusticeForSaswati JusticeForSaswatiJana Bengalisburning BengalViolence BengalBurning [USER] [USER] [URL]	NOT	
170	Worse than Nazi gas chambers ResignModi Emergency Covid-19 relief is flooding Delhi airport - but where is it going next? [URL]	NOT	
171	[USER] Sorry to hear you're having a tough enough time, then some twat makes it worserer ( I'm sure that's a word) Stay strong Andrea 🙏🏽	NOT	
172	He smiled hella hard when I told him what u just said. MissiSsippi Pimp Shit. [URL]	NOT	
173	Lindsey Graham is a total shitbag.	NOT	
174	[USER] Lagos is oversaturated with cars. My God. Cars, and kekes, and okadas. Everything zipping and horning and just creating a bloody cacophony. There's especially a special place in hell for Okadas that use horns meant for Trucks. They wan make I ment for Bariga that year.	NOT	
175	[USER] [USER] made a complete cock of himself, equivalent to Jedward and that wanker with the plastic shopping bag over his head	HOF	['(u_1 / wanker :mod (u_2 / .*))']
176	[USER] Did you get the old bastard 1 or the young gun 1😬	HOF	['(u_1 / bastard)']
177	[USER] Bjp has failed the nation. Modi has failed the nation. Biggest scam of history is PM care fund. [USER] [USER] ModiKaVaccineJumla ModiMustResign ModiResignOrRepeal ModiMadeDisaster ModiGovtSeNaHoPayega	NOT	
178	[USER] fuck that must both hurt and piss you off. so direspectful	HOF	['(u_2 / fuck)']
179	Morally bankrupt. Disgraceful. BoycottChina propaganda IndiaCovidCrisis boycotthuawei boycottlenovo freetibet UyghurGenocide [URL]	NOT	
180	Period bussy the house down sissy slay cunt boots pow ! [URL]	NOT	
181	Idiots who were supportin CAA,atleast nw u should hve understood dat giving citizenship to outsiders when our own basic Infra is insufficient for Indians is such a huge mistake. CAA is done only for extra voter Base nothing else. CAA ExitModi indianeedoxygen IndiaCovidCrisis	NOT	
182	[USER] ji you not only lost the elections today, you have lost lakhs of honest followers like me. Shame on you for letting us all down for your petty politics & power. Hope you learn and shine. Listen to experts and be a good man. NoVoteToModi	HOF	['(u_1 / shame :ARG1 (u_2 / media|person|publication|they|you|party|have|government))']
183	Kangana did a terrible mistake of pointing the mistakes of supreme leader !! Betrayal & exposing Gujarat CM is not acceptable in BJP.. ResignModi [URL]	NOT	
184	TuckerCarlson is a dangerous fool! DrSanjayGupta Sets the record straight about the COVIDVaccine and Tucker's lies. [URL]	NOT	
