text_id	text	task_1	task_2	task_3
hasoc_en_43	Now if all remaining matches will get washed NZ - 12 Ind - 11 Eng - 10 Aus - 10 WI - 9 SL - 9 Pak - 9 Ban - 8 SA - 6 Afg - 6 Semis Aus vs NZ (If rain doesn't stop) NZ Eng vs Ind (If rain doesn't stop) Ind Final Ind vs NZ (If rain doesn't stop) NZ - India will win ShameOnICC	NOT	NONE	NONE
hasoc_en_44	[USER] This crazy Manbaby will probably paint it gold. Not gawdy at all. ihate45 worstPresidentever weaselheadedfucknugget shutyourshithole fucktrump yousuck liarinchief noclass moron ridusofthisdisease UnfollowTrump ++ (**)++	HOF	PRFN	TIN
hasoc_en_45	This is everything. fucktrump [URL]	HOF	PRFN	TIN
hasoc_en_46	[USER] Where were the IMA & other associations when doctors were being hounded for a year after BRDOxygenTragedy without any fault of their own? Doctors need to stand up with each other, no matter who the assaulter is and who is in power DoctorsFightBack DoctorsProtest	NOT	NONE	NONE
hasoc_en_47	Hey Trump ! These lovely ladies got something to tell ya .... FUCKTRUMP [URL]	HOF	PRFN	TIN
hasoc_en_48	I love this bill, I think they should start printing them FuckTrump [URL]	HOF	PRFN	TIN
hasoc_en_49	So basically he's not vegan dickhead 🙄 [URL]	HOF	PRFN	TIN
hasoc_en_50	[USER] The world will rejoice when you die. murderer classless	HOF	OFFN	TIN
hasoc_en_51	Acoustic & Electric Guitar Kits from Rs.1699 [URL] Guitars & Other Musical Instruments Upto 75% off [URL] DoctorsFightBack SaveBengal amazon flipkart deals dealoftheday amazingdeals offers discount JaiShreeRam ModiForAll	NOT	NONE	NONE
hasoc_en_52	[USER] Maybe [USER] should take his lips off your ass, read the report, and get with the dems and everyone else with half a brain and get YOU out of the White House! 🤷‍♂️ POSPOTUS ASSKISSERS ImpeachTrump FuckTrump ButNotLiterallyLindsey	HOF	PRFN	TIN
hasoc_en_53	"[URL] ""This ruling sends a clear message that Muslim voices will not be silenced by threats and hate."" - [USER] via [USER] [USER] helped represent Mr. Obeidallah. AntiMuslim Islamophobia Justice [URL]"	NOT	NONE	NONE
hasoc_en_54	-50'C to -70'C avg. temp in Siachen, in winters(avg. people feel cold +15'C) In such Skull freezing envrmnt IndianArmy protect us But people like kanahiya kumar referred IndianArmy as rapist and supports who abuses and throw stones at IndianArmy [URL]	NOT	NONE	NONE
hasoc_en_55	Mamta ji pls don't drag Muslims in this case no one said they won't treat any particular religion I am a muslim pls stop speculating situation based on religion Stop playing bloody politics MamtaBanerjee DoctorsFightBack India westbengal trinamool	NOT	NONE	NONE
hasoc_en_56	Are you watching, Johnson? borisjohnson BorisJohnsonShouldNotBePM incompetent [URL]	NOT	NONE	NONE
hasoc_en_57	Well come to New Pakistan with new rates Budget2019 PTIGovernment imranhataomulkbachao [URL]	NOT	NONE	NONE
hasoc_en_58	[USER] Just this: T.R.U.M.P is ... GOOD! HE SHOULD BE! TrumpIsATraitor [URL]	NOT	NONE	NONE
hasoc_en_59	just going to leave this here 👏🏻 keep your eyes and mind open to how the media portray people and remember, question everything Leadersdebate BorisJohnsonShouldNotBePM [URL]	NOT	NONE	NONE
hasoc_en_60	All the best to TeamIndia for another swimming competition on Sunday against India 🇮🇳 Pakistan. 🇵🇰 INDvPAK ShameOnICC CWC19 CWC19Rains ☔☔ [URL]	NOT	NONE	NONE
hasoc_en_61	Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x [URL] fucktrump antitrump votebluenomatterwho [URL]	NOT	NONE	NONE
hasoc_en_62	[USER] [USER] This world cup 19 should be ban !! 😡😡 Rain rain rain motherfuckerr ICC Shift this world to another country or ban this world cup 19 😡😡 ShameOnICC 😡😡	HOF	PRFN	TIN
hasoc_en_63	Learn how to cover up the ground ShameOnICC	NOT	NONE	NONE
hasoc_en_64	😅😂🤣🤣 LMAO at the shoe-lifts, girdle-butt stance. Pathetic. But FUCKTRUMP for the vomitus of lies he spews and crimes he commits😡🤬🤮🤬😡 [URL]	HOF	PRFN	TIN
hasoc_en_65	We have waited 4 years to see the world cup matches, not the rain. If this continues it will be very disappointing for all the fans.ShameOnICC	NOT	NONE	NONE
hasoc_en_66	Gee... where have we seen this before? fucktrump ImpeachDonaldTrumpNOW Leaked docs reveal Russian effort to exert influence in Africa [URL]	NOT	NONE	NONE
hasoc_en_67	Sarah Sanders is floating the idea of running for Arkansas governor, sources say Resist ResistTrump FuckTrump [URL]	NOT	NONE	NONE
hasoc_en_68	dirtyjohn bravo holy crap the guy was in LosGatos and that's in my neck of the woods it's siliconvalley sanjose scary murderer	NOT	NONE	NONE
hasoc_en_69	ShameOnICC: Indian Fans Unleash Their Wrath Upon ICC After Another World Cup Washout [URL]	NOT	NONE	NONE
hasoc_en_70	Throwback to the time when Pak dedicated an entire match to its army and the ICC didn't even flinch. India must not be pressured by ICC and change Dhoni gloves. Don't let Pak win. Boycott the WC India! DhoniKeepTheGlove DhoniKeepsTheGlove DhoniKeSaathDesh DhoniKeepTheGloves [URL]	NOT	NONE	NONE
hasoc_en_71	I want to know too! Thanks [USER] for asking these questions ! FuckTrump BeBest OrangeFoolius. [URL]	NOT	NONE	NONE
hasoc_en_72	We don't need a special law. WE NEED PROPER UNBIASED ENFORCEMENT OF EXISTING LAWS. Once they are applied properly and people jailed there will be deterrence. We doctors must win back the trust of the people. This will ensure political support for us. DoctorsFightBack	NOT	NONE	NONE
hasoc_en_73	Top 50 hashtags mentioning [USER] for 2019-06-15 07:00 to 2019-06-15 15:00 GMT+0 MAGA JohnMcCainDay Trump2020 DerangedDonald Trump TrumpIsATraitor ImpeachTrumpNow WWG1WGA RT ImpeachTrump [URL]	NOT	NONE	NONE
hasoc_en_74	DhoniKeepsTheGlove why only dhoni all the indian audience should also wear the jersey and banner with 'Balidan' Insignia. Tv channels ,news papers and wherever possible should include this insignia.	NOT	NONE	NONE
hasoc_en_75	"[USER] [USER] Except... Trump's hand has already been caught in the cookie jar trying to get ""dirt"" on an opponent from Russia. Remember... Trump Tower? TrumpIsATraitor ImpeachmentHearingsNow [URL]"	NOT	NONE	NONE
hasoc_en_76	Crabs LIVE! Covering the lies of the sleazy, cheating GOP! [URL] ---> 'Viva La Resistance!' Trump fucktrump libcrib	NOT	NONE	NONE
hasoc_en_77	Livpure Glo 7L RO+UV + Mineralizer Water Purifier [USER] Rs.9499 (mrp-15990) [URL] More: [URL] [URL] DoctorsFightBack SaveBengal amazon flipkart deals dealoftheday amazingdeals offers discount JaiShreeRam ModiForAll	NOT	NONE	NONE
hasoc_en_78	The most awaited variant from OnePlus - OnePlus7Pro in Almond. Buy Now on [USER] 👉[URL] with an EMI starting at just [CUR]2,495 OnePlus7IsHere oneplus7series OnePlus7 WorldBloodDonorDay ShameOnICC FridayMotivation NBAFinals FridayFeeling WeTheNorth	NOT	NONE	NONE
hasoc_en_79	Ted Bundy's final meal. He didn't even pick at it. execution murderer killer tedbundy breakfast lethalinjection [URL]	NOT	NONE	NONE
hasoc_en_80	[USER],[USER], [USER] [USER] Dear Sir please look at this video we all met Earlier Homeminster for TGSFraud and DreamZGKfraud Like you he also promised.IMAfraud [URL] [USER]	NOT	NONE	NONE
hasoc_en_81	Dear [USER] this is world cup not a club cricket so please check the umpiring errors instead of [USER] gloves. DhoniKeepsTheGlove DhoniKeepTheGlove DhoniKeSaathDesh	NOT	NONE	NONE
hasoc_en_82	INDvsNZ toss be like....ShameOnICC [URL]	NOT	NONE	NONE
hasoc_en_83	[USER] Instead of focusing on game, why have a unnecessary controversy. Is wearing a symbol only way to show respect. Rather Win the worldcup and dedicate it to our forces. It will give them more high n respect worldover. Its a matter of priority n focus.DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_84	Boris Johnson = chaos [USER] = stability It really is as simple as that! Toryleadership BorisJohnsonShouldNotBePM [URL]	NOT	NONE	NONE
hasoc_en_85	DhoniKeepsTheGlove What's wrong with [USER]?? Dhoni is first a soldier then a cricketer..... [USER]	NOT	NONE	NONE
hasoc_en_86	DoctorsFightBack PresidentsRule is only option TMC goons r not in control of [USER] [URL]	NOT	NONE	NONE
hasoc_en_87	[USER] why is it okay? DhoniKeepsTheGlove DhoniKeSaathDesh [URL]	NOT	NONE	NONE
hasoc_en_88	You supportdhoni MSDHONI DhoniKeSaathDesh Dhoni ??? BCCI CWC19 DhoniKeepTheGloves DhoniKeepsTheGlove DhoniKeepBalidaanBadgeGlove BalidanBadge Balidan bbccricket CricketWorldCup2019 WorldCup2019 Retweet 🔄 for msdhonigloves Like 👍 👇	NOT	NONE	NONE
hasoc_en_89	[USER] Did my part. Murderer	NOT	NONE	NONE
hasoc_en_90	Hypocrisy of the Indian elite SaveBengal Savethedoctors India MamataLosingControl MamataBanerjee Kolkata WestBengal BengalDoctorsStrike [USER] [USER] [USER] [USER] [USER] democracy DoctorsFightBack DoctorsStrike DoctorsProtest [URL]	NOT	NONE	NONE
hasoc_en_91	5000+ Doctors and Non Medicos walked from NRS to CNMC for our cause. History has been created as this is probably one of the biggest movement that has been carried out by the doctors. DoctorsFightBack [URL] [URL]	NOT	NONE	NONE
hasoc_en_92	[USER] Destroy our country? More like defending our country against a treasonous traitor in the white house! TrumpIsATraitor TrumpTaxes TrumpsAnInternationalDisgrace TrumpMustResign	HOF	OFFN	TIN
hasoc_en_93	Gabor nails it again. A voice of reason. BorisJohnsonShouldNotBePM [URL]	NOT	NONE	NONE
hasoc_en_94	Few minutes left for Almond OnePlus7Pro on [USER] Available with SBI Cash back of [CUR]2000 and up to 6 months No Cost EMI 💳 Quick hands on to buy it 👇 OnePlus7 OnePlus7IsHere OnePlus7Pro OnePlus WeTheNorth ShameOnICC FridayMotivation FridayFeeling NBAFinals	NOT	NONE	NONE
hasoc_en_95	AOC asks the FBI why they give white supremacists a pass Resist ResistTrump FuckTrump [URL]	NOT	NONE	NONE
hasoc_en_96	[USER] [USER] [USER] What it is that we will do anything to get trump the hell out there EXCEPT CHEAT LIKE TRUMP DID!!!! FuckTrump Bluewave2020	HOF	HATE	TIN
hasoc_en_97	Boris Johnson will lie about anything if it gives him an advantage. In the local elections he was forced to delete a tweet claiming to have just voted...BUT, there were no elections in his area! This Trump-like compulsive liar just can't stop himself... BorisJohnsonShouldNotBePM [URL]	NOT	NONE	NONE
hasoc_en_98	"Ian Bagg Part 4: He once told a feature act who asked to sell his album after the show, ""Nope, they came for me, not you"" Fact DoucheBag 50YearOldMan 47viewedPodcast"	NOT	NONE	NONE
hasoc_en_99	[USER] What a nasty lot ToryLeadershipContest contenders have exposed themselves to be! ToryLeadershipContest BorisJohnsonShouldNotBePM	NOT	NONE	NONE
hasoc_en_100	Marlon Craft - Gang Shit (Official Music Video) [URL] via [USER] [USER] FuckTrump CopsAreTheGang	NOT	NONE	NONE
hasoc_en_101	[USER] If we want to unite our country- we should commit that anyone who us scared to face a bit of public scrutiny shouldn't be allowed to run for Prime Minister... BorisJohnsonShouldNotBePM BorisJohnson ToryLeadership ToryLeadershipDebate ToriesOut	NOT	NONE	NONE
hasoc_en_102	Analysis: Sarah Sanders' legacy: The death of the White House press briefing Resist ResistTrump FuckTrump [URL]	NOT	NONE	NONE
hasoc_en_103	So it looks like the lying incompetent homophobic racist BorisJohnson will be the next Tory leader...well at least we'll get a GeneralElection eh Boris? BorisJohnsonShouldNotBePM ToryDrugOff ToryLeadershipContest [URL]	HOF	OFFN	TIN
hasoc_en_104	It's not a windmill. It's not a fan. It's a wind turbine and it's good for the environment. fucktrump [URL]	NOT	NONE	NONE
hasoc_en_105	[USER] This is applaudable move by doctors. They save our lives. We must support them against the voilence. Savethedoctors DoctorsFightBack	NOT	NONE	NONE
hasoc_en_106	This will not work we are not scapegoats.. centre should intervene. . DoctorsFightBack [USER] [USER] [USER] [USER]	NOT	NONE	NONE
hasoc_en_107	Mitch McConnell, Too, Welcomes Russian Interference Resist ResistTrump FuckTrump [URL]	NOT	NONE	NONE
hasoc_en_108	If a doctor needs to be assualted or killed for every patient who dies during treatment, then here is a list of people who also deserve the same fate. Savethedoctors SaveBengal savethesaviour SaveDoctors DoctorsFightBack DoctorsStrike DoctorsProtest doctor DoctorStrike [URL]	NOT	NONE	NONE
hasoc_en_109	[USER] Says the guy who killed the tree that Macron gave u for friendship n peace!! sad douchebag	NOT	NONE	NONE
hasoc_en_110	[USER] ...You're finally going to admit to something bad you did in the past? Juice THEJUICEISLOOSE OJ Simpson Golf course Killer Are you OnTheHunt for the real Killers? Murder Redrum Murderer? NicoleBrownSimpson RonGoldman Admit what you did Comeclean Tell the truth [URL]	NOT	NONE	NONE
hasoc_en_111	BorisJohnsonShouldNotBePM he is already ducking and diving the 5 friendly candidates...God help us when it comes to to the 27 European countries!! [URL]	NOT	NONE	NONE
hasoc_en_112	1.Death of Dr Payal Tadvi 2.Arresting of Dr kafeel khan 3.72 children die due to insufficient oxygen! Where were these doctors? DoctorsStrike DoctorsFightBack DoctorsProtest Savethedoctors	NOT	NONE	NONE
hasoc_en_113	Vinay Tewari, Consulting Editor: Global sporting events across the world work on volunteers & I'm not too sure if England is so badly placed that they can't hire 100 people as volunteers to push the cover to the ground ShameOnICC [URL]	NOT	NONE	NONE
hasoc_en_114	IndianPsychiatricSociety stands by IndianMedicalAssociation. Condemns ViolenceAgainstDoctors DoctorsFightBack SolidarityWithNRSMCH StopViolenceAgainstDoctors [USER] [URL]	NOT	NONE	NONE
hasoc_en_115	I urge every Indian to send mail to icc at enquiry[USER]-cricket.com with this image asking them why he can't keep the logo on that glove ? DhoniKeepTheGlove DhoniKeepsTheGlove [URL]	NOT	NONE	NONE
hasoc_en_116	[USER] [USER] [USER] Japan disagrees...they saw something 'flying in' and then hitting the boat. TrumpIsATraitor [URL]	NOT	NONE	NONE
hasoc_en_117	[USER] In India the severity of punishment for Holding just bitcoin is equivalent the crime done by a Rapist or a Murderer Or money Launderer or extortionist. Really amazed to see where we are Heading.	NOT	NONE	NONE
hasoc_en_118	[USER] [USER] 2uat [USER] is doing they have objection on DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_119	Do your job Senators MBS Murderer [URL]	NOT	NONE	NONE
hasoc_en_120	Trump's Constant Attacks on FreePress are Merciless Attacks on Democracy's Foundation FuckTrump TrumpFascism ImpeachTheMF StopFascism Drumpf ResistTrump FascistTrump SaveDemocracy Cult45 NotMyPresident StopHate DumpTrump PutinsPuppet FBR [URL]	NOT	NONE	NONE
hasoc_en_121	[USER] [USER] Is there anything our so-called President does other than eating hamberder's in bed and watching FauxNews while tweeting? LockTrumpUp ImpeachmentInquiryNow ImpeachTrump ImpeachBarr ImpeachMnuchin TrumpIsATraitor	NOT	NONE	NONE
hasoc_en_122	Meanwhile ....Dhoni's Reply To ICC ...... DhoniKeepTheGlove DhoniKeepsTheGlove DhoniKeSaathDesh dhonigloves dhoni [URL]	NOT	NONE	NONE
hasoc_en_123	abhii bhii smy bcaa huaa hai / Shift the ICCCricketWorldCup2019 In India.😂😂 We need rain. [USER] [USER] [USER] [USER] [USER] [USER] ShameOnICC	NOT	NONE	NONE
hasoc_en_124	The whole Dhoni's gloves controversy during CWC19, is outright immature & mindless. I'd understand if there was anyone else you'd question the integrity & intention of, but not this guy. He is as pure & genuine an ambassador of Sport, as you'll ever get. DhoniKeepsTheGlove	NOT	NONE	NONE
hasoc_en_125	[USER] [USER] Losing 1, 13 or 100 is the same level of disappointment, so is winning 1 or 100 it's the same level of achievement and should be rewarded with any level of celebration desired.. It's hard work rewarded, not charity! douchebag	NOT	NONE	NONE
hasoc_en_126	[USER] Proactive? Directive from above !! .. it is shameful interpretation from a journalist . Every movement has a turning point ... It is Now or Never DoctorsFightBack StopViolenceAgainstDoctors [URL]	NOT	NONE	NONE
hasoc_en_127	[USER] to BCCI:: Sorry we cant allow Ms Dhoni to keep the Army Gloves. [USER] reply:: Salaam thok, Sar Jhuka, Tu dum daba, Chal Rasta naap le.. BalidanBadge BalidanInsignia MSDHONI IndiaWithDhoni DhoniKeepsTheGlove DhoniKeSathDesh BoycottWorldCup	NOT	NONE	NONE
hasoc_en_128	etsy shop: Benedict Donald so called president is a traitor Short-Sleeve Unisex T-Shirt [URL] clothing shirt streetwear trump impeach treason traitor fucktrump impeachtrump [URL]	NOT	NONE	NONE
hasoc_en_129	Trump downplays the time he said he'd take help from foreign actors offering dirt on 2020 Dems Resist ResistTrump FuckTrump [URL]	NOT	NONE	NONE
hasoc_en_130	"[USER] He's had the worst numbers of any president ever. Theres not much ""Lower"" to go. TrumpIsATraitor"	HOF	OFFN	TIN
hasoc_en_131	[USER] [USER] Pay no attention to the draft dodging charlatan behind the curtain! LOL! fucktrump DumbDonnyTheDraftDodgingDotard DraftDodgerDonny	NOT	NONE	NONE
hasoc_en_132	shameonicc English:ShameOnICC Indian daily soaps: Bahr aapki thoo-thoo ho rhi h znab [USER] 🤣😂🤣	NOT	NONE	NONE
hasoc_en_133	Has someone really just sent me a snap whilst doing 90mph in a lorry??? dickhead	NOT	NONE	NONE
hasoc_en_134	[USER] [USER] [USER] Which hurts you the most? Duel citizenship; or not having a sanctuary city to hide in? douchebag	NOT	NONE	NONE
hasoc_en_135	Fck the US tho and fucktrump [URL]	HOF	PRFN	UNT
hasoc_en_136	Watch our short, dark comedy, Time to Kill. movie film comedy darkcomedy raunchy funny laugh laughoutloud hitman killer kill murder phone cellphone action thriller gun silencer lube condom tense tension dog boxer cutedogs murderer [URL]	NOT	NONE	NONE
hasoc_en_137	[USER] [USER] I just got back on Twitter a few weeks ago! I don't have many followers so feel free to add me! 🤘🏻🇺🇸 fucktrump	NOT	NONE	NONE
hasoc_en_138	[USER] 50% APPROVAL TO RESIGN!!! FUCKTRUMP FUCKTHATPUTO	NOT	NONE	NONE
hasoc_en_139	TrumpIsATraitor Call your Member of Congress [URL]	NOT	NONE	NONE
hasoc_en_140	DoctorsFightBack | 'We have no political colour. This is just us - doctors,' say protesting doctors at NRS Hospital in Kolkata refuting West Bengal CM Mamata Banerjee, even as doctors from across India stand with them [URL] [URL]	NOT	NONE	NONE
hasoc_en_141	"[USER] ""getting even"" ? lock up the cutlery murderer"	NOT	NONE	NONE
hasoc_en_142	Wow, fakeDonaldTrump discussing Venezuela and actually stating that he is always right. Since lierTrump is NEVER right, that is a bold (faced lie) statement. When will the nightmare end? When will congress ImpeachTrump? idiotTrump	NOT	NONE	NONE
hasoc_en_143	Oh Emma , Its not a competition also you already lost FuckTrump [URL]	NOT	NONE	NONE
hasoc_en_144	INDvNZ | Cricket fans are venting their frustration with ShameOnICC tweets and wondering why the ground staff could not cover the entire ground when the rain warning was given in advance. Take a look at these tweets: [URL]	NOT	NONE	NONE
hasoc_en_145	[USER] This is one of the worst times to be American, because you are causing serious damage to our country. I sure don't wish you a Happy Father's Day, because everyone knows you're a terrible father. DerangedDonald TrumpisaTraitor TrumpisaCriminal	HOF	OFFN	TIN
hasoc_en_146	Trump doesn't know what the Hell he is talking about!!!! He can't help but spew B*llshit!!! He's a Disgrace & 2020 can not get here fast enough! FuckfaceVonClownstick fucktrump LockTrumpUp ImpeachTheMF ImpeachTheMFTraitor [URL]	HOF	PRFN	TIN
hasoc_en_147	TrumpIsATraitor TheResistance Don't get me wrong there's nothing funny about what Trump said. On the other hand this is really amusing. [URL]	NOT	NONE	NONE
hasoc_en_148	43 percent of the hate speech Facebook initially removed was restored within 90 days, and 100% of these restored posts were Islamophobic in nature.Facebook in India Is Drowning in AntiMuslim Hate Speech Islamophobia [URL] via [USER]	NOT	NONE	NONE
hasoc_en_149	[USER] Oh he definitely would've sold out everybody. trumpisatraitor TrumpMustResign	NOT	NONE	NONE
hasoc_en_150	FuckTrump 💩 [CUR]41-million settlement in 'Central Park Five' case gets final approval [URL]	NOT	NONE	NONE
hasoc_en_151	[USER] You are. False journalists with agendas on none existant fabrications. douchebag	NOT	NONE	NONE
hasoc_en_152	Goddamit fucktrump [URL]	NOT	NONE	NONE
hasoc_en_153	Amrinder Singh Malhi, President, RDA , AIIMS: All resident doctors are back to work but we will continue with symbolic protest by wearing black badges, bandages&helmets. If condition worsens we will go on indefinite strike from June 17. DoctorsFightBack [URL]	NOT	NONE	NONE
hasoc_en_154	[USER] Only in America can a murderer (come on, he did it) and convicted criminal immediately get half million followers. If you're following, you're condoning his actions and validating him. OJdidit conman murderer	NOT	NONE	NONE
hasoc_en_155	No [USER] lawmakers with any guts? TrumpIsATraitor [URL]	NOT	NONE	NONE
